[2021-12-20 04:46:07 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 14:51:57 | info | root]: Train Loss : 0.0054648374
[2021-12-20 14:51:57 | info | root]: Test Loss : 0.0055009364
[2021-12-20 15:00:47 | info | root]: Epoch : 74
[2021-12-20 15:00:47 | info | root]: Train Loss : 0.0053211707
[2021-12-20 15:00:47 | info | root]: Test Loss : 0.0053736665
[2021-12-20 15:09:43 | info | root]: Epoch : 75
[2021-12-20 15:09:43 | info | root]: Train Loss : 0.0054249307
[2021-12-20 15:09:43 | info | root]: Test Loss : 0.005461301
[2021-12-20 15:19:20 | info | root]: Epoch : 76
[2021-12-20 15:19:20 | info | root]: Train Loss : 0.005345805
[2021-12-20 15:19:20 | info | root]: Test Loss : 0.0053773876
[2021-12-20 15:26:33 | info | root]: Epoch : 77
[2021-12-20 15:26:33 | info | root]: Train Loss : 0.005338143
[2021-12-20 15:26:33 | info | root]: Test Loss : 0.005415853
[2021-12-20 15:33:51 | info | root]: Epoch : 78
[2021-12-20 15:33:51 | info | root]: Train Loss : 0.005496937
[2021-12-20 15:33:51 | info | root]: Test Loss : 0.005556727
[2021-12-20 15:41:01 | info | root]: Epoch : 79
[2021-12-20 15:41:01 | info | root]: Train Loss : 0.005355696
[2021-12-20 15:41:01 | info | root]: Test Loss : 0.005414209
[2021-12-20 15:48:16 | info | root]: Epoch : 80
[2021-12-20 15:48:16 | info | root]: Train Loss : 0.0054972367
[2021-12-20 15:48:16 | info | root]: Test Loss : 0.005532985
[2021-12-20 15:55:28 | info | root]: Epoch : 81
[2021-12-20 15:55:28 | info | root]: Train Loss : 0.0053799446
[2021-12-20 15:55:28 | info | root]: Test Loss : 0.0054255463
[2021-12-20 16:02:41 | info | root]: Epoch : 82
[2021-12-20 16:02:41 | info | root]: Train Loss : 0.0053918795
[2021-12-20 16:02:41 | info | root]: Test Loss : 0.0054322155
[2021-12-20 16:09:53 | info | root]: Epoch : 83
[2021-12-20 16:09:53 | info | root]: Train Loss : 0.0053728106
[2021-12-20 16:09:53 | info | root]: Test Loss : 0.005424275
[2021-12-20 16:18:15 | info | root]: Epoch : 84
[2021-12-20 16:18:15 | info | root]: Train Loss : 0.0053612916
[2021-12-20 16:18:15 | info | root]: Test Loss : 0.0053961435
[2021-12-20 16:26:54 | info | root]: Epoch : 85
[2021-12-20 16:26:54 | info | root]: Train Loss : 0.0054504857
[2021-12-20 16:26:54 | info | root]: Test Loss : 0.0055149463
[2021-12-20 16:35:53 | info | root]: Epoch : 86
[2021-12-20 16:35:53 | info | root]: Train Loss : 0.005278938
[2021-12-20 16:35:53 | info | root]: Test Loss : 0.0053214696
[2021-12-20 16:43:03 | info | root]: Epoch : 87
[2021-12-20 16:43:03 | info | root]: Train Loss : 0.005354258
[2021-12-20 16:43:03 | info | root]: Test Loss : 0.0053930054
[2021-12-20 16:50:15 | info | root]: Epoch : 88
[2021-12-20 16:50:15 | info | root]: Train Loss : 0.005381871
[2021-12-20 16:50:15 | info | root]: Test Loss : 0.005424051
[2021-12-20 16:57:27 | info | root]: Epoch : 89
[2021-12-20 16:57:27 | info | root]: Train Loss : 0.0053621936
[2021-12-20 16:57:27 | info | root]: Test Loss : 0.005423258
[2021-12-20 17:04:49 | info | root]: Epoch : 90
[2021-12-20 17:04:49 | info | root]: Train Loss : 0.0051765135
[2021-12-20 17:04:49 | info | root]: Test Loss : 0.005240961
[2021-12-20 17:12:00 | info | root]: Epoch : 91
[2021-12-20 17:12:00 | info | root]: Train Loss : 0.005134576
[2021-12-20 17:12:00 | info | root]: Test Loss : 0.0051813177
[2021-12-20 17:19:13 | info | root]: Epoch : 92
[2021-12-20 17:19:13 | info | root]: Train Loss : 0.005097568
[2021-12-20 17:19:13 | info | root]: Test Loss : 0.005162306
