[2021-12-20 04:46:31 | info | root]: Now training of Implicit-GON is starting. We provide the parameters as the following
[2021-12-20 13:01:55 | info | root]: Epoch : 61
[2021-12-20 13:01:55 | info | root]: Train Loss : 0.009517192
[2021-12-20 13:01:55 | info | root]: Test Loss : 0.00973363
[2021-12-20 13:08:48 | info | root]: Epoch : 62
[2021-12-20 13:08:48 | info | root]: Train Loss : 0.009553123
[2021-12-20 13:08:48 | info | root]: Test Loss : 0.009771151
[2021-12-20 13:15:48 | info | root]: Epoch : 63
[2021-12-20 13:15:48 | info | root]: Train Loss : 0.009778551
[2021-12-20 13:15:48 | info | root]: Test Loss : 0.009991275
[2021-12-20 13:22:45 | info | root]: Epoch : 64
[2021-12-20 13:22:45 | info | root]: Train Loss : 0.009821122
[2021-12-20 13:22:45 | info | root]: Test Loss : 0.010015257
[2021-12-20 13:32:33 | info | root]: Epoch : 65
[2021-12-20 13:32:33 | info | root]: Train Loss : 0.009594366
[2021-12-20 13:32:33 | info | root]: Test Loss : 0.009805353
[2021-12-20 13:40:28 | info | root]: Epoch : 66
[2021-12-20 13:40:28 | info | root]: Train Loss : 0.009417909
[2021-12-20 13:40:28 | info | root]: Test Loss : 0.009629252
[2021-12-20 13:47:27 | info | root]: Epoch : 67
[2021-12-20 13:47:27 | info | root]: Train Loss : 0.009425634
[2021-12-20 13:47:27 | info | root]: Test Loss : 0.0096391
[2021-12-20 13:54:20 | info | root]: Epoch : 68
[2021-12-20 13:54:20 | info | root]: Train Loss : 0.009392624
[2021-12-20 13:54:20 | info | root]: Test Loss : 0.009610745
[2021-12-20 14:01:14 | info | root]: Epoch : 69
[2021-12-20 14:01:14 | info | root]: Train Loss : 0.009376813
[2021-12-20 14:01:14 | info | root]: Test Loss : 0.009584714
[2021-12-20 14:08:13 | info | root]: Epoch : 70
[2021-12-20 14:08:13 | info | root]: Train Loss : 0.009326772
[2021-12-20 14:08:13 | info | root]: Test Loss : 0.009534482
[2021-12-20 14:17:04 | info | root]: Epoch : 71
[2021-12-20 14:17:04 | info | root]: Train Loss : 0.009243959
[2021-12-20 14:17:04 | info | root]: Test Loss : 0.009469857
[2021-12-20 14:27:29 | info | root]: Epoch : 72
[2021-12-20 14:27:29 | info | root]: Train Loss : 0.009352384
[2021-12-20 14:27:29 | info | root]: Test Loss : 0.009562396
[2021-12-20 14:35:18 | info | root]: Epoch : 73
[2021-12-20 14:35:18 | info | root]: Train Loss : 0.009289884
[2021-12-20 14:35:18 | info | root]: Test Loss : 0.009509787
[2021-12-20 14:44:34 | info | root]: Epoch : 74
[2021-12-20 14:44:34 | info | root]: Train Loss : 0.00902824
[2021-12-20 14:44:34 | info | root]: Test Loss : 0.009233993
[2021-12-20 14:52:17 | info | root]: Epoch : 75
[2021-12-20 14:52:17 | info | root]: Train Loss : 0.009188561
[2021-12-20 14:52:17 | info | root]: Test Loss : 0.00940398
[2021-12-20 15:02:56 | info | root]: Epoch : 76
[2021-12-20 15:02:56 | info | root]: Train Loss : 0.009166185
[2021-12-20 15:02:56 | info | root]: Test Loss : 0.009375554
[2021-12-20 15:10:58 | info | root]: Epoch : 77
[2021-12-20 15:10:58 | info | root]: Train Loss : 0.0093891425
[2021-12-20 15:10:58 | info | root]: Test Loss : 0.009584768
[2021-12-20 15:19:06 | info | root]: Epoch : 78
[2021-12-20 15:19:06 | info | root]: Train Loss : 0.009224412
[2021-12-20 15:19:06 | info | root]: Test Loss : 0.00943357
[2021-12-20 15:26:55 | info | root]: Epoch : 79
[2021-12-20 15:26:55 | info | root]: Train Loss : 0.009110166
[2021-12-20 15:26:55 | info | root]: Test Loss : 0.009312967
[2021-12-20 15:33:51 | info | root]: Epoch : 80
[2021-12-20 15:33:51 | info | root]: Train Loss : 0.008791859
[2021-12-20 15:33:51 | info | root]: Test Loss : 0.008996589
[2021-12-20 15:42:53 | info | root]: Epoch : 81
[2021-12-20 15:42:53 | info | root]: Train Loss : 0.009139332
[2021-12-20 15:42:53 | info | root]: Test Loss : 0.0093428865
[2021-12-20 15:51:44 | info | root]: Epoch : 82
[2021-12-20 15:51:44 | info | root]: Train Loss : 0.009012398
[2021-12-20 15:51:44 | info | root]: Test Loss : 0.009219316
[2021-12-20 15:59:49 | info | root]: Epoch : 83
[2021-12-20 15:59:49 | info | root]: Train Loss : 0.008983917
[2021-12-20 15:59:49 | info | root]: Test Loss : 0.009196841
[2021-12-20 16:06:49 | info | root]: Epoch : 84
[2021-12-20 16:06:49 | info | root]: Train Loss : 0.009152176
[2021-12-20 16:06:49 | info | root]: Test Loss : 0.009344916
[2021-12-20 16:15:35 | info | root]: Epoch : 85
[2021-12-20 16:15:35 | info | root]: Train Loss : 0.008870056
[2021-12-20 16:15:35 | info | root]: Test Loss : 0.0090670325
[2021-12-20 16:26:29 | info | root]: Epoch : 86
[2021-12-20 16:26:29 | info | root]: Train Loss : 0.008956271
[2021-12-20 16:26:29 | info | root]: Test Loss : 0.009155708
[2021-12-20 16:34:32 | info | root]: Epoch : 87
[2021-12-20 16:34:32 | info | root]: Train Loss : 0.008876676
[2021-12-20 16:34:32 | info | root]: Test Loss : 0.009078522
[2021-12-20 16:45:18 | info | root]: Epoch : 88
[2021-12-20 16:45:18 | info | root]: Train Loss : 0.008695851
[2021-12-20 16:45:18 | info | root]: Test Loss : 0.008907466
[2021-12-20 16:54:33 | info | root]: Epoch : 89
[2021-12-20 16:54:33 | info | root]: Train Loss : 0.009024324
[2021-12-20 16:54:33 | info | root]: Test Loss : 0.009211491
[2021-12-20 17:01:33 | info | root]: Epoch : 90
[2021-12-20 17:01:33 | info | root]: Train Loss : 0.008817386
[2021-12-20 17:01:33 | info | root]: Test Loss : 0.009017566
[2021-12-20 17:12:09 | info | root]: Epoch : 91
[2021-12-20 17:12:09 | info | root]: Train Loss : 0.008829154
[2021-12-20 17:12:09 | info | root]: Test Loss : 0.009026925
[2021-12-20 17:20:16 | info | root]: Epoch : 92
[2021-12-20 17:20:16 | info | root]: Train Loss : 0.009043937
[2021-12-20 17:20:16 | info | root]: Test Loss : 0.00924679
[2021-12-20 17:28:45 | info | root]: Epoch : 93
[2021-12-20 17:28:45 | info | root]: Train Loss : 0.008734685
[2021-12-20 17:28:45 | info | root]: Test Loss : 0.0089480085
[2021-12-20 17:37:01 | info | root]: Epoch : 94
[2021-12-20 17:37:01 | info | root]: Train Loss : 0.008697786
[2021-12-20 17:37:01 | info | root]: Test Loss : 0.008898802
[2021-12-20 17:43:53 | info | root]: Epoch : 95
[2021-12-20 17:43:53 | info | root]: Train Loss : 0.0087674055
[2021-12-20 17:43:53 | info | root]: Test Loss : 0.008976964
[2021-12-20 17:50:48 | info | root]: Epoch : 96
[2021-12-20 17:50:48 | info | root]: Train Loss : 0.00862682
[2021-12-20 17:50:48 | info | root]: Test Loss : 0.008834708
[2021-12-20 17:59:07 | info | root]: Epoch : 97
[2021-12-20 17:59:07 | info | root]: Train Loss : 0.008527601
[2021-12-20 17:59:07 | info | root]: Test Loss : 0.008732925
[2021-12-20 18:07:20 | info | root]: Epoch : 98
[2021-12-20 18:07:20 | info | root]: Train Loss : 0.0085831145
[2021-12-20 18:07:20 | info | root]: Test Loss : 0.008789592
[2021-12-20 18:15:50 | info | root]: Epoch : 99
[2021-12-20 18:15:50 | info | root]: Train Loss : 0.008790189
[2021-12-20 18:15:50 | info | root]: Test Loss : 0.008992863
[2021-12-20 18:24:35 | info | root]: Epoch : 100
[2021-12-20 18:24:35 | info | root]: Train Loss : 0.008705895
[2021-12-20 18:24:35 | info | root]: Test Loss : 0.008906481
